orig_index,true_label,prob_pos,pred_label
414,1,0.0,0
453,0,0.0,0
5,0,0.0,0
409,0,1.0,1
529,1,0.0,0
204,0,0.0,0
30,1,1.0,1
80,1,1.0,1
122,1,1.0,1
593,1,1.0,1
58,1,1.0,1
288,0,0.0,0
638,0,1.0,1
245,1,1.0,1
368,0,1.0,1
437,1,1.0,1
147,1,1.0,1
639,1,1.0,1
432,1,1.0,1
316,1,1.0,1
157,0,0.0,0
469,1,0.0,0
687,0,1.0,1
694,0,0.0,0
562,0,0.0,0
160,1,0.0,0
382,1,1.0,1
471,0,0.0,0
33,1,1.0,1
408,0,0.0,0
463,1,1.0,1
111,0,0.0,0
131,1,0.0,0
377,0,0.0,0
62,1,1.0,1
712,1,1.0,1
684,0,0.0,0
454,1,1.0,1
195,1,1.0,1
335,1,0.0,0
199,0,1.0,1
553,0,0.0,0
149,1,1.0,1
25,0,0.0,0
269,0,1.0,1
22,0,0.0,0
628,0,0.0,0
49,1,0.0,0
383,1,0.0,0
574,0,0.0,0
310,1,1.0,1
645,1,0.0,0
374,1,0.0,0
372,1,1.0,1
592,0,1.0,1
369,0,1.0,1
353,1,1.0,1
588,0,1.0,1
112,0,0.0,0
292,0,0.0,0
98,1,1.0,1
275,0,0.0,0
354,0,1.0,1
630,0,0.0,0
53,1,0.0,0
84,1,1.0,1
473,0,0.0,0
658,0,0.0,0
285,1,1.0,1
389,1,0.0,0
527,1,0.0,0
322,1,0.0,0
90,1,1.0,1
360,1,0.0,0
457,0,0.0,0
671,0,1.0,1
207,1,1.0,1
319,1,0.0,0
41,1,1.0,1
636,0,0.0,0
153,0,1.0,1
162,0,1.0,1
56,0,1.0,1
9,0,0.0,0
584,0,1.0,1
266,0,0.0,0
435,1,0.0,0
660,1,1.0,1
701,0,0.0,0
16,1,0.0,0
61,0,1.0,1
117,0,1.0,1
227,0,1.0,1
263,1,1.0,1
692,0,0.0,0
299,1,1.0,1
464,0,0.0,0
367,1,1.0,1
243,0,0.0,0
37,1,0.0,0
656,0,0.0,0
479,1,1.0,1
40,0,0.0,0
536,0,1.0,1
38,1,0.0,0
105,1,0.0,0
350,0,1.0,1
108,1,1.0,1
420,1,0.0,0
258,1,0.0,0
202,1,1.0,1
274,0,0.0,0
570,1,1.0,1
237,0,0.0,0
