social_timestamp,social_karma,syntax_ari,lex_liwc_WC,lex_liwc_Analytic,lex_liwc_Clout,lex_liwc_Authentic,lex_liwc_Tone,lex_liwc_WPS,lex_liwc_Sixltr,lex_liwc_Dic,lex_liwc_function,lex_liwc_pronoun,lex_liwc_ppron,lex_liwc_i,lex_liwc_we,lex_liwc_you,lex_liwc_shehe,lex_liwc_they,lex_liwc_ipron,lex_liwc_article,lex_liwc_prep,lex_liwc_auxverb,lex_liwc_adverb,lex_liwc_conj,lex_liwc_negate,lex_liwc_verb,lex_liwc_adj,lex_liwc_compare,lex_liwc_interrog,lex_liwc_number,lex_liwc_quant,lex_liwc_affect,lex_liwc_posemo,lex_liwc_negemo,lex_liwc_anx,lex_liwc_anger,lex_liwc_sad,lex_liwc_social,lex_liwc_family,lex_liwc_friend,lex_liwc_female,lex_liwc_male,lex_liwc_cogproc,lex_liwc_insight,lex_liwc_cause,lex_liwc_discrep,lex_liwc_tentat,lex_liwc_certain,lex_liwc_differ,lex_liwc_percept,lex_liwc_see,lex_liwc_hear,lex_liwc_feel,lex_liwc_bio,lex_liwc_body,lex_liwc_health,lex_liwc_sexual,lex_liwc_ingest,lex_liwc_drives,lex_liwc_affiliation,lex_liwc_achieve,lex_liwc_power,lex_liwc_reward,lex_liwc_risk,lex_liwc_focuspast,lex_liwc_focuspresent,lex_liwc_focusfuture,lex_liwc_relativ,lex_liwc_motion,lex_liwc_space,lex_liwc_time,lex_liwc_work,lex_liwc_leisure,lex_liwc_home,lex_liwc_money,lex_liwc_relig,lex_liwc_death,lex_liwc_informal,lex_liwc_swear,lex_liwc_netspeak,lex_liwc_assent,lex_liwc_nonflu,lex_liwc_filler,lex_liwc_AllPunc,lex_liwc_Period,lex_liwc_Comma,lex_liwc_Colon,lex_liwc_SemiC,lex_liwc_QMark,lex_liwc_Exclam,lex_liwc_Dash,lex_liwc_Quote,lex_liwc_Apostro,lex_liwc_Parenth,lex_liwc_OtherP,lex_dal_max_pleasantness,lex_dal_max_activation,lex_dal_max_imagery,lex_dal_min_pleasantness,lex_dal_min_activation,lex_dal_min_imagery,lex_dal_avg_activation,lex_dal_avg_imagery,lex_dal_avg_pleasantness,social_upvote_ratio,social_num_comments,syntax_fk_grade,sentiment,token_len,char_len
1514980773,22,-1.238793103,55,2.82,57.22,55.41,5.95,11.0,7.27,94.55,67.27,29.09,18.18,5.45,0.0,9.09,3.64,0.0,10.91,0.0,12.73,7.27,1.82,14.55,7.27,18.18,1.82,3.64,1.82,5.45,0.0,1.82,0.0,1.82,0.0,0.0,0.0,20.0,0.0,1.82,0.0,3.64,20.0,0.0,0.0,7.27,7.27,0.0,14.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,3.64,0.0,1.82,1.82,1.82,5.45,10.91,3.64,12.73,0.0,1.82,10.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.64,12.73,5.45,1.82,0.0,0.0,0.0,0.0,1.82,1.82,0.0,0.0,2.7143,2.8889,2.6,1.0,1.2,1.0,1.65864,1.32245,1.80264,0.63,62,-0.1487068966,0.0,66,270
1493348050,5,7.684583333,72,64.56,50.0,31.19,92.4,14.4,25.0,84.72,44.44,9.72,8.33,6.94,1.39,0.0,0.0,0.0,1.39,5.56,11.11,8.33,5.56,8.33,0.0,13.89,1.39,0.0,2.78,2.78,1.39,4.17,4.17,0.0,0.0,0.0,0.0,6.94,0.0,0.0,0.0,1.39,9.72,4.17,1.39,1.39,2.78,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,2.78,2.78,2.78,4.17,0.0,1.39,13.89,1.39,6.94,1.39,4.17,1.39,22.22,0.0,0.0,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.28,6.94,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,2.4444,2.8889,3.0,1.4,1.125,1.0,1.69133,1.6918,1.97249,1.0,2,7.398222222,-0.06590909091,81,416
1524516630,10,2.360408389,148,14.79,75.05,62.88,16.15,21.14,10.81,94.59,59.46,23.65,14.19,6.08,2.03,0.68,2.7,2.7,9.46,2.7,12.16,10.14,6.08,9.46,0.68,20.27,4.73,2.7,0.68,1.35,2.03,3.38,1.35,2.03,0.68,0.0,1.35,14.86,0.0,0.68,0.0,2.7,9.46,2.03,0.0,3.38,3.38,0.68,4.05,0.68,0.68,0.0,0.0,2.7,0.0,2.7,0.0,0.0,5.41,2.7,0.0,1.35,1.35,0.0,6.08,12.16,1.35,16.89,2.03,8.11,6.76,0.68,0.0,0.0,2.03,0.0,0.68,2.7,0.0,0.0,0.68,0.68,0.0,17.57,16.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.0,2.8333,2.9091,3.0,1.1429,1.0,1.0,1.70974,1.52985,1.86108,1.0,8,3.149288079,-0.03681818182,159,732
1524018289,5,5.997,100,32.13,38.19,79.76,12.51,20.0,9.0,92.0,64.0,28.0,17.0,12.0,1.0,2.0,2.0,0.0,11.0,4.0,15.0,6.0,6.0,4.0,2.0,20.0,2.0,2.0,3.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,12.0,1.0,1.0,0.0,3.0,19.0,4.0,1.0,7.0,7.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,2.0,1.0,2.0,6.0,11.0,1.0,15.0,2.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,12.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,2.7143,2.8,1.0,1.3,1.0,1.72615,1.52,1.84909,1.0,7,6.606,-0.06666666667,111,481
1516200171,138,4.649417989,78,4.96,50.0,71.23,89.84,15.6,21.79,96.15,65.38,24.36,19.23,11.54,0.0,1.28,3.85,2.56,5.13,1.28,11.54,12.82,8.97,6.41,3.85,21.79,2.56,0.0,3.85,1.28,1.28,3.85,3.85,0.0,0.0,0.0,0.0,19.23,0.0,2.56,0.0,5.13,28.21,6.41,5.13,5.13,3.85,2.56,5.13,8.97,0.0,2.56,6.41,2.56,0.0,1.28,0.0,0.0,11.54,5.13,1.28,2.56,2.56,0.0,3.85,16.67,1.28,10.26,0.0,5.13,3.85,0.0,1.28,0.0,0.0,0.0,0.0,1.28,0.0,1.28,0.0,0.0,0.0,20.51,5.13,2.56,0.0,1.28,1.28,0.0,0.0,2.56,5.13,2.56,0.0,3.0,2.5,3.0,1.125,1.1429,1.0,1.75642,1.43582,1.91725,0.84,70,4.801869489,0.1416666667,98,436
1515778002,7,0.9107142857,57,90.97,63.73,28.23,25.77,14.25,10.53,85.96,50.88,10.53,7.02,3.51,0.0,0.0,0.0,3.51,3.51,14.04,12.28,7.02,3.51,5.26,1.75,19.3,5.26,1.75,0.0,1.75,0.0,3.51,1.75,1.75,0.0,0.0,1.75,12.28,0.0,1.75,0.0,0.0,8.77,0.0,5.26,0.0,0.0,0.0,3.51,3.51,0.0,1.75,1.75,0.0,0.0,0.0,0.0,0.0,7.02,1.75,0.0,3.51,1.75,0.0,10.53,10.53,0.0,10.53,1.75,5.26,3.51,7.02,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,5.26,1.75,0.0,0.0,0.0,1.75,1.75,0.0,1.75,0.0,3.51,2.625,2.625,2.6,1.1429,1.0,1.0,1.70441,1.56364,1.76971,0.7,16,3.28952381,-0.275,66,293
1536453310,14,15.81557632,107,44.53,61.05,15.67,61.21,21.4,10.28,87.85,59.81,14.95,9.35,1.87,0.0,0.0,0.0,7.48,5.61,7.48,14.02,13.08,8.41,6.54,0.93,19.63,7.48,2.8,4.67,0.0,1.87,3.74,2.8,0.93,0.0,0.0,0.93,9.35,0.0,0.0,0.0,0.0,9.35,0.0,2.8,1.87,3.74,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.15,0.93,1.87,7.48,1.87,0.93,1.87,12.15,1.87,11.21,1.87,7.48,1.87,2.8,0.0,4.67,1.87,0.0,0.0,1.87,0.0,0.0,0.0,0.93,0.93,17.76,7.48,1.87,0.0,0.0,0.0,0.0,0.0,3.74,1.87,2.8,0.0,2.6,2.6667,3.0,1.0,1.0,1.0,1.59863,1.4186,1.82149,0.82,15,13.09757009,0.0,121,556
1506028350,6,10.02995134,131,28.99,29.64,92.8,7.88,26.2,20.61,91.6,58.02,19.08,10.69,7.63,0.0,0.0,1.53,1.53,8.4,3.05,15.27,9.92,6.87,6.87,3.82,16.79,3.82,1.53,1.53,1.53,3.82,1.53,0.0,1.53,0.76,0.76,0.0,9.16,0.0,1.53,1.53,0.0,15.27,3.82,2.29,0.76,0.76,4.58,3.05,5.34,0.0,4.58,0.76,1.53,0.76,0.76,0.0,0.0,4.58,1.53,0.76,1.53,0.0,0.76,3.05,13.74,0.0,17.56,2.29,10.69,6.11,3.82,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,3.82,5.34,0.0,0.0,0.0,0.0,0.76,0.0,4.58,0.0,0.0,2.7143,2.8,3.0,1.0,1.1429,1.0,1.70439,1.50598,1.82334,0.88,6,9.593832117,0.03997668998,148,725
1495666475,21,1.06869191,78,13.57,4.8,99.0,2.7,15.6,14.1,89.74,60.26,17.95,16.67,16.67,0.0,0.0,0.0,0.0,1.28,3.85,12.82,12.82,8.97,8.97,3.85,21.79,2.56,1.28,0.0,0.0,0.0,5.13,1.28,3.85,0.0,2.56,0.0,8.97,3.85,1.28,0.0,0.0,10.26,0.0,1.28,1.28,2.56,1.28,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.26,3.85,1.28,1.28,2.56,1.28,2.56,19.23,0.0,17.95,6.41,14.1,1.28,3.85,3.85,3.85,1.28,1.28,0.0,1.28,1.28,0.0,0.0,0.0,0.0,12.82,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41,0.0,0.0,2.4444,2.6667,3.0,1.1111,1.0,1.0,1.69207,1.62817,1.88011,0.81,30,3.251153184,0.08240740741,88,374
1520659298,7,5.789629121,104,90.76,80.65,51.03,99.0,14.86,15.38,89.42,46.15,14.42,12.5,3.85,0.96,0.0,7.69,0.0,1.92,5.77,16.35,2.88,1.92,4.81,0.0,9.62,11.54,0.0,0.0,5.77,0.96,13.46,9.62,2.88,0.0,1.92,0.0,11.54,0.0,0.96,0.0,7.69,5.77,1.92,1.92,0.0,1.92,0.96,0.0,2.88,0.96,0.0,0.0,3.85,0.0,0.96,0.0,2.88,10.58,3.85,3.85,2.88,0.96,0.0,8.65,0.96,0.96,23.08,1.92,12.5,7.69,1.92,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.23,11.54,4.81,0.0,0.0,0.0,0.0,0.96,1.92,0.0,0.0,0.0,2.8571,2.5,3.0,1.0,1.0,1.0,1.70685,1.73571,1.88339,1.0,7,5.97543956,0.2589646465,119,561
